‘ Well, it's a recognised symptom of the condition that an attack can come out of the blue.	‘ Well, it's a recognised symptom of the condition that an attack can come without warning.	1.0
In the long term treating your staff and potential staff well will increase your chances of attracting high - calibre applicants for job vacancies.	eventually treating your staff and potential staff well will increase your chances of attracting high - calibre applicants for job vacancies.	0.7524959368469933
If you've ever come home with newly bought make - up only to find that the colours don't really suit you, take heart.	If you've ever come home with newly bought make - up only to find that the colours don't really suit you, regain courage.	1.0
He concedes that the new sector organisations called into being by Mr Heseltine last July are not yet up to speed.	He concedes that the new sector organisations called into being by Mr Heseltine last July are not yet fully informed.	1.0
He concedes that the new sector organisations called into being by Mr Heseltine last July are not yet up to speed.	He concedes that the new sector organisations called into being by Mr Heseltine last July are not yet fully informed.	1.0
No, cos he knows he'll piss off, I know Barry used to take the piss at him	No, cos he knows he'll piss off, I know Barry used to tease at him	1.0
also, it goes without saying, I mean the people at the other end would probably like to see a copy before you start just for, to see if they can suggest	also, it is obvious, I mean the people at the other end would probably like to see a copy before you start just for, to see if they can suggest	1.0
The matter came to a head in Dewsbury where parents refused to send twenty - six children to a school in which the vast majority of the pupils were Asian.	The matter reached a turning point in Dewsbury where parents refused to send twenty - six children to a school in which the vast majority of the pupils were Asian.	1.0
The BSDI contingents hopeful that Novell Inc will quash the suit once it takes USL over may be barking up the wrong tree.	The BSDI contingents hopeful that Novell Inc will quash the suit once it takes USL over may be doing inappropriate things.	1.0
Or did that make her fair game?’	Or did that make her an acceptable target	0.7132557216563038
BIRDS OF A FEATHER …	people having similar characters, backgrounds, interests, or beliefs …	0.5764095287621464
Ernest had an eye for detail, and Undertown displays this to the hilt.	Ernest easily discern detail, and Undertown displays this to the hilt.	1.0
‘ It was par for the course.	‘ It was expected.	1.0
But now prison officers are taken from all walks of life.’	But now prison officers are taken from all occuption, role, social class, or lifestyle	1.0
FC Copenhagen will have identical twins hoping to bring home the bacon when the Danes come to town for Thursday's European Cup encounter.	FC Copenhagen will have identical twins hoping to succeed when the Danes come to town for Thursday's European Cup encounter.	1.0
